date,day_of_week,is_weekday,public_holiday
2013-08-18,Sunday,FALSE,FALSE
2013-08-19,Monday,TRUE,FALSE
2013-08-20,Tuesday,TRUE,FALSE
2013-08-21,Wednesday,TRUE,FALSE
2013-08-22,Thursday,TRUE,FALSE
2013-08-23,Friday,TRUE,FALSE
2013-08-24,Saturday,FALSE,FALSE
2013-08-25,Sunday,FALSE,FALSE
2013-08-26,Monday,TRUE,FALSE
2013-08-27,Tuesday,TRUE,FALSE
2013-08-28,Wednesday,TRUE,FALSE
2013-08-29,Thursday,TRUE,FALSE
2013-08-30,Friday,TRUE,FALSE
2013-08-31,Saturday,FALSE,FALSE
2013-09-01,Sunday,FALSE,FALSE
2013-09-02,Monday,TRUE,TRUE
2013-09-03,Tuesday,TRUE,FALSE
2013-09-04,Wednesday,TRUE,FALSE
2013-09-05,Thursday,TRUE,FALSE
2013-09-06,Friday,TRUE,FALSE
2013-09-07,Saturday,FALSE,FALSE
2013-09-08,Sunday,FALSE,FALSE
2013-09-09,Monday,TRUE,FALSE
2013-09-10,Tuesday,TRUE,FALSE
2013-09-11,Wednesday,TRUE,FALSE
2013-09-12,Thursday,TRUE,FALSE
2013-09-13,Friday,TRUE,FALSE
2013-09-14,Saturday,FALSE,FALSE
2013-09-15,Sunday,FALSE,FALSE
2013-09-16,Monday,TRUE,FALSE
2013-09-17,Tuesday,TRUE,FALSE
2013-09-18,Wednesday,TRUE,FALSE
2013-09-19,Thursday,TRUE,FALSE
2013-09-20,Friday,TRUE,FALSE
2013-09-21,Saturday,FALSE,FALSE
2013-09-22,Sunday,FALSE,FALSE
2013-09-23,Monday,TRUE,FALSE
2013-09-24,Tuesday,TRUE,FALSE
2013-09-25,Wednesday,TRUE,FALSE
2013-09-26,Thursday,TRUE,FALSE
2013-09-27,Friday,TRUE,FALSE
2013-09-28,Saturday,FALSE,FALSE
2013-09-29,Sunday,FALSE,FALSE
2013-09-30,Monday,TRUE,FALSE
2013-10-01,Tuesday,TRUE,FALSE
2013-10-02,Wednesday,TRUE,FALSE
2013-10-03,Thursday,TRUE,FALSE
2013-10-04,Friday,TRUE,FALSE
2013-10-05,Saturday,FALSE,FALSE
2013-10-06,Sunday,FALSE,FALSE
2013-10-07,Monday,TRUE,FALSE
2013-10-08,Tuesday,TRUE,FALSE
2013-10-09,Wednesday,TRUE,FALSE
2013-10-10,Thursday,TRUE,FALSE
2013-10-11,Friday,TRUE,FALSE
2013-10-12,Saturday,FALSE,FALSE
2013-10-13,Sunday,FALSE,FALSE
2013-10-14,Monday,TRUE,TRUE
2013-10-15,Tuesday,TRUE,FALSE
2013-10-16,Wednesday,TRUE,FALSE
2013-10-17,Thursday,TRUE,FALSE
2013-10-18,Friday,TRUE,FALSE
2013-10-19,Saturday,FALSE,FALSE
2013-10-20,Sunday,FALSE,FALSE
2013-10-21,Monday,TRUE,FALSE
2013-10-22,Tuesday,TRUE,FALSE
2013-10-23,Wednesday,TRUE,FALSE
2013-10-24,Thursday,TRUE,FALSE
2013-10-25,Friday,TRUE,FALSE
2013-10-26,Saturday,FALSE,FALSE
2013-10-27,Sunday,FALSE,FALSE
2013-10-28,Monday,TRUE,FALSE
